

0m 52s (- 42m 47s) (100 2%) train loss: 1.1397, val_seen loss: 0.9784, success_rate: 0.115, val_unseen loss: 0.9837, success_rate: 0.053
1m 47s (- 43m 2s) (200 4%) train loss: 0.8624, val_seen loss: 0.8514, success_rate: 0.147, val_unseen loss: 0.9246, success_rate: 0.053
2m 41s (- 42m 10s) (300 6%) train loss: 0.7296, val_seen loss: 0.8002, success_rate: 0.147, val_unseen loss: 0.9556, success_rate: 0.070
3m 37s (- 41m 39s) (400 8%) train loss: 0.6385, val_seen loss: 0.7670, success_rate: 0.154, val_unseen loss: 1.0182, success_rate: 0.050
4m 33s (- 41m 3s) (500 10%) train loss: 0.5673, val_seen loss: 0.7521, success_rate: 0.154, val_unseen loss: 1.0277, success_rate: 0.070
5m 25s (- 39m 45s) (600 12%) train loss: 0.5057, val_seen loss: 0.7571, success_rate: 0.160, val_unseen loss: 1.1302, success_rate: 0.057
6m 16s (- 38m 35s) (700 14%) train loss: 0.4553, val_seen loss: 0.7203, success_rate: 0.205, val_unseen loss: 1.2002, success_rate: 0.073
7m 9s (- 37m 32s) (800 16%) train loss: 0.4122, val_seen loss: 0.7309, success_rate: 0.179, val_unseen loss: 1.2261, success_rate: 0.090
8m 0s (- 36m 29s) (900 18%) train loss: 0.3716, val_seen loss: 0.7505, success_rate: 0.186, val_unseen loss: 1.2485, success_rate: 0.077
8m 52s (- 35m 29s) (1000 20%) train loss: 0.3398, val_seen loss: 0.7374, success_rate: 0.269, val_unseen loss: 1.3400, success_rate: 0.083
9m 43s (- 34m 29s) (1100 22%) train loss: 0.3082, val_seen loss: 0.7602, success_rate: 0.237, val_unseen loss: 1.4055, success_rate: 0.093
10m 35s (- 33m 32s) (1200 24%) train loss: 0.2843, val_seen loss: 0.7613, success_rate: 0.237, val_unseen loss: 1.4599, success_rate: 0.070
11m 27s (- 32m 35s) (1300 26%) train loss: 0.2610, val_seen loss: 0.7560, success_rate: 0.276, val_unseen loss: 1.4635, success_rate: 0.080
12m 19s (- 31m 40s) (1400 28%) train loss: 0.2392, val_seen loss: 0.7946, success_rate: 0.295, val_unseen loss: 1.5187, success_rate: 0.080
13m 11s (- 30m 45s) (1500 30%) train loss: 0.2199, val_seen loss: 0.7954, success_rate: 0.276, val_unseen loss: 1.5822, success_rate: 0.067
14m 3s (- 29m 52s) (1600 32%) train loss: 0.2026, val_seen loss: 0.8412, success_rate: 0.231, val_unseen loss: 1.5847, success_rate: 0.063
14m 56s (- 29m 0s) (1700 34%) train loss: 0.1877, val_seen loss: 0.8250, success_rate: 0.237, val_unseen loss: 1.6132, success_rate: 0.057
15m 49s (- 28m 7s) (1800 36%) train loss: 0.1755, val_seen loss: 0.8563, success_rate: 0.276, val_unseen loss: 1.7201, success_rate: 0.063
16m 43s (- 27m 16s) (1900 38%) train loss: 0.1618, val_seen loss: 0.8631, success_rate: 0.250, val_unseen loss: 1.7757, success_rate: 0.080
17m 37s (- 26m 25s) (2000 40%) train loss: 0.1493, val_seen loss: 0.8642, success_rate: 0.199, val_unseen loss: 1.7929, success_rate: 0.073
18m 29s (- 25m 32s) (2100 42%) train loss: 0.1410, val_seen loss: 0.8712, success_rate: 0.205, val_unseen loss: 1.7205, success_rate: 0.070
19m 22s (- 24m 39s) (2200 44%) train loss: 0.1299, val_seen loss: 0.9044, success_rate: 0.212, val_unseen loss: 1.8255, success_rate: 0.073
20m 14s (- 23m 45s) (2300 46%) train loss: 0.1196, val_seen loss: 0.9805, success_rate: 0.244, val_unseen loss: 1.8632, success_rate: 0.060
21m 7s (- 22m 52s) (2400 48%) train loss: 0.1120, val_seen loss: 0.9503, success_rate: 0.250, val_unseen loss: 1.8982, success_rate: 0.067
21m 58s (- 21m 58s) (2500 50%) train loss: 0.1041, val_seen loss: 0.8777, success_rate: 0.231, val_unseen loss: 1.9310, success_rate: 0.067
22m 50s (- 21m 4s) (2600 52%) train loss: 0.0967, val_seen loss: 0.9711, success_rate: 0.237, val_unseen loss: 1.9994, success_rate: 0.067
23m 42s (- 20m 11s) (2700 54%) train loss: 0.0905, val_seen loss: 0.9694, success_rate: 0.237, val_unseen loss: 1.9907, success_rate: 0.070
24m 34s (- 19m 18s) (2800 56%) train loss: 0.0853, val_seen loss: 1.0082, success_rate: 0.231, val_unseen loss: 2.0356, success_rate: 0.057
25m 25s (- 18m 24s) (2900 57%) train loss: 0.0794, val_seen loss: 1.0480, success_rate: 0.231, val_unseen loss: 2.0149, success_rate: 0.087
26m 17s (- 17m 31s) (3000 60%) train loss: 0.0747, val_seen loss: 1.0708, success_rate: 0.250, val_unseen loss: 2.0647, success_rate: 0.080
27m 8s (- 16m 38s) (3100 62%) train loss: 0.0691, val_seen loss: 1.0328, success_rate: 0.237, val_unseen loss: 2.0889, success_rate: 0.063
28m 0s (- 15m 45s) (3200 64%) train loss: 0.0653, val_seen loss: 1.0701, success_rate: 0.244, val_unseen loss: 2.1448, success_rate: 0.077
28m 52s (- 14m 52s) (3300 66%) train loss: 0.0605, val_seen loss: 1.1137, success_rate: 0.244, val_unseen loss: 2.2290, success_rate: 0.090
29m 44s (- 13m 59s) (3400 68%) train loss: 0.0570, val_seen loss: 1.1388, success_rate: 0.192, val_unseen loss: 2.1493, success_rate: 0.093
30m 37s (- 13m 7s) (3500 70%) train loss: 0.0540, val_seen loss: 1.0606, success_rate: 0.256, val_unseen loss: 2.1779, success_rate: 0.093
31m 29s (- 12m 14s) (3600 72%) train loss: 0.0493, val_seen loss: 1.2299, success_rate: 0.237, val_unseen loss: 2.2211, success_rate: 0.087
32m 21s (- 11m 22s) (3700 74%) train loss: 0.0463, val_seen loss: 1.1116, success_rate: 0.199, val_unseen loss: 2.3383, success_rate: 0.093
33m 12s (- 10m 29s) (3800 76%) train loss: 0.0439, val_seen loss: 1.1921, success_rate: 0.237, val_unseen loss: 2.2721, success_rate: 0.077
34m 5s (- 9m 37s) (3900 78%) train loss: 0.0414, val_seen loss: 1.1929, success_rate: 0.237, val_unseen loss: 2.2624, success_rate: 0.087
34m 58s (- 8m 44s) (4000 80%) train loss: 0.0390, val_seen loss: 1.2818, success_rate: 0.237, val_unseen loss: 2.3714, success_rate: 0.090
35m 49s (- 7m 51s) (4100 82%) train loss: 0.0364, val_seen loss: 1.2466, success_rate: 0.244, val_unseen loss: 2.3812, success_rate: 0.093
36m 42s (- 6m 59s) (4200 84%) train loss: 0.0342, val_seen loss: 1.2632, success_rate: 0.250, val_unseen loss: 2.4906, success_rate: 0.083
