4m 44s (- 1417m 26s) (100 0%) train loss: 1.5710, val_seen loss: 1.4938, success_rate: 0.048, val_unseen loss: 1.4966, success_rate: 0.025
9m 30s (- 1415m 40s) (200 0%) train loss: 1.4358, val_seen loss: 1.3624, success_rate: 0.048, val_unseen loss: 1.3680, success_rate: 0.025
14m 15s (- 1410m 53s) (300 1%) train loss: 1.2877, val_seen loss: 1.2040, success_rate: 0.048, val_unseen loss: 1.2053, success_rate: 0.025
19m 0s (- 1406m 46s) (400 1%) train loss: 1.1500, val_seen loss: 1.1079, success_rate: 0.048, val_unseen loss: 1.1113, success_rate: 0.025
23m 45s (- 1401m 52s) (500 1%) train loss: 1.0924, val_seen loss: 1.0738, success_rate: 0.048, val_unseen loss: 1.0805, success_rate: 0.025
28m 29s (- 1396m 1s) (600 2%) train loss: 1.0749, val_seen loss: 1.0639, success_rate: 0.048, val_unseen loss: 1.0638, success_rate: 0.025
33m 13s (- 1390m 51s) (700 2%) train loss: 1.0607, val_seen loss: 1.0521, success_rate: 0.048, val_unseen loss: 1.0602, success_rate: 0.025
37m 59s (- 1386m 33s) (800 2%) train loss: 1.0567, val_seen loss: 1.0417, success_rate: 0.048, val_unseen loss: 1.0522, success_rate: 0.025
42m 45s (- 1382m 33s) (900 3%) train loss: 1.0550, val_seen loss: 1.0460, success_rate: 0.048, val_unseen loss: 1.0549, success_rate: 0.025
47m 33s (- 1379m 8s) (1000 3%) train loss: 1.0511, val_seen loss: 1.0437, success_rate: 0.048, val_unseen loss: 1.0494, success_rate: 0.025
52m 24s (- 1376m 45s) (1100 3%) train loss: 1.0478, val_seen loss: 1.0420, success_rate: 0.048, val_unseen loss: 1.0459, success_rate: 0.025
57m 11s (- 1372m 42s) (1200 4%) train loss: 1.0456, val_seen loss: 1.0420, success_rate: 0.048, val_unseen loss: 1.0433, success_rate: 0.025
62m 1s (- 1369m 25s) (1300 4%) train loss: 1.0423, val_seen loss: 1.0421, success_rate: 0.048, val_unseen loss: 1.0453, success_rate: 0.025
66m 53s (- 1366m 31s) (1400 4%) train loss: 1.0430, val_seen loss: 1.0420, success_rate: 0.048, val_unseen loss: 1.0437, success_rate: 0.025
71m 44s (- 1363m 4s) (1500 5%) train loss: 1.0419, val_seen loss: 1.0388, success_rate: 0.048, val_unseen loss: 1.0477, success_rate: 0.025
76m 35s (- 1359m 27s) (1600 5%) train loss: 1.0396, val_seen loss: 1.0399, success_rate: 0.049, val_unseen loss: 1.0398, success_rate: 0.025
81m 25s (- 1355m 28s) (1700 5%) train loss: 1.0389, val_seen loss: 1.0386, success_rate: 0.049, val_unseen loss: 1.0405, success_rate: 0.026
86m 16s (- 1351m 33s) (1800 6%) train loss: 1.0416, val_seen loss: 1.0388, success_rate: 0.049, val_unseen loss: 1.0400, success_rate: 0.025
91m 4s (- 1346m 50s) (1900 6%) train loss: 1.0404, val_seen loss: 1.0375, success_rate: 0.049, val_unseen loss: 1.0408, success_rate: 0.026
95m 53s (- 1342m 31s) (2000 6%) train loss: 1.0363, val_seen loss: 1.0318, success_rate: 0.049, val_unseen loss: 1.0395, success_rate: 0.026
100m 43s (- 1338m 8s) (2100 7%) train loss: 1.0336, val_seen loss: 1.0402, success_rate: 0.049, val_unseen loss: 1.0421, success_rate: 0.026
105m 34s (- 1334m 0s) (2200 7%) train loss: 1.0352, val_seen loss: 1.0410, success_rate: 0.051, val_unseen loss: 1.0425, success_rate: 0.028
110m 31s (- 1331m 0s) (2300 7%) train loss: 1.0364, val_seen loss: 1.0315, success_rate: 0.052, val_unseen loss: 1.0327, success_rate: 0.029
115m 23s (- 1327m 1s) (2400 8%) train loss: 1.0312, val_seen loss: 1.0342, success_rate: 0.051, val_unseen loss: 1.0407, success_rate: 0.029
120m 15s (- 1322m 54s) (2500 8%) train loss: 1.0299, val_seen loss: 1.0260, success_rate: 0.054, val_unseen loss: 1.0369, success_rate: 0.034
125m 9s (- 1318m 57s) (2600 8%) train loss: 1.0342, val_seen loss: 1.0278, success_rate: 0.055, val_unseen loss: 1.0346, success_rate: 0.035
130m 5s (- 1315m 26s) (2700 9%) train loss: 1.0306, val_seen loss: 1.0379, success_rate: 0.053, val_unseen loss: 1.0399, success_rate: 0.033
135m 7s (- 1312m 42s) (2800 9%) train loss: 1.0302, val_seen loss: 1.0327, success_rate: 0.061, val_unseen loss: 1.0343, success_rate: 0.042
140m 0s (- 1308m 25s) (2900 9%) train loss: 1.0301, val_seen loss: 1.0219, success_rate: 0.072, val_unseen loss: 1.0281, success_rate: 0.051
144m 57s (- 1304m 38s) (3000 10%) train loss: 1.0295, val_seen loss: 1.0265, success_rate: 0.076, val_unseen loss: 1.0336, success_rate: 0.054
149m 54s (- 1300m 44s) (3100 10%) train loss: 1.0291, val_seen loss: 1.0221, success_rate: 0.090, val_unseen loss: 1.0270, success_rate: 0.069
